1,Andorra
2,Argentina
3,Australia
4,Austria
5,Belgium
6,Bolivia
7,Brazil
8,Bulgaria
9,Canada
10,Chile
11,Colombia
12,Costa Rica
13,Czech Republic
14,Denmark
15,Dominican Republic
16,Ecuador
17,Egypt
18,El Salvador
19,Estonia
20,Finland
21,France
22,Germany
23,Greece
24,Guatemala
25,Honduras
26,Hong Kong
27,Hungary
28,Iceland
29,India
30,Indonesia
31,Ireland
32,Israel
33,Italy
34,Japan
35,Latvia
36,Lithuania
37,Luxembourg
38,Malaysia
39,Mexico
40,Morocco
41,Netherlands
42,New Zealand
43,Nicaragua
44,Norway
45,Panama
46,Paraguay
47,Peru
48,Philippines
49,Poland
50,Portugal
51,Romania
52,Russia
53,Saudi Arabia
54,Singapore
55,Slovakia
56,South Africa
57,South Korea
58,Spain
59,Sweden
60,Switzerland
61,Taiwan
62,Thailand
63,Turkey
64,Ukraine
65,United Arab Emirates
66,United Kingdom
67,United States
68,Uruguay
69,Vietnam
